26506,,,,,,,,,,,,,,,,,,
,,0-25,26-50,51-75,76-100,101-125,126-150,151-175,176-200,201-225,226-250,251-275,276-300,301-325,326-350,351-360,,
104.71875,171.25,,,,,,,,,,,,,,,,,
106,174.25,,,,,,,,,,,,,,,,,
107.265625,177.25,,,,,,,,,,,,,,,,,
108.546875,180.25,,,,,,,,,,,,,,,,,
109.796875,184.25,,,,,,,,,,,,,,,,,
111.375,179.25,,,,,,,,,,,,,,,,,
112.234375,194.5,,,,,,,,,,,,,,,,,
112.109375,254.5,,,,,,,,,,,,,,,,,
115.296875,186.5,,,,,,,,,,,,,,,,,
116.78125,184.25,,,,,,,,,,,,,,,,,
118.28125,181.25,,,,,,,,,,,,,,,,,
119.84375,177.25,,,,,,,,,,,,,,,,,
121.359375,174.25,,,,,,,,,,,,,,,,,
122.890625,171.25,,,,,,,,,,,,,,,,,
124.40625,168.25,,,,,,,,,,,,,,,,,
125.9375,165.25,,,,,,,,,,,,,,,,,
127.421875,163.25,,,,,,,,,,,,,,,,,
128.921875,161.25,,,,,,,,,,,,,,,,,
